date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:46	354/354	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f77-162%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/mail.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/mail.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:46	57147/57147	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:42%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/inbox.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/inbox.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:46	58939/58939	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:09%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/read-email.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/read-email.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:46	110800/110800	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:58%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/chat.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/chat.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:47	305/305	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f7a-131%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/message-square.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/message-square.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:47	383/383	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f90-17f%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/shopping-cart.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/shopping-cart.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:47	95189/95189	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:04%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/products.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/products.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:47	49409/49409	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:03%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/product-details.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/product-details.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:48	49141/49141	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:44%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/add-product.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/add-product.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:48	49357/49357	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:55%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/cart.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/cart.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:48	118098/118098	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:57%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/order.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/order.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:49	62369/62369	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:11%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/sellers.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/sellers.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:49	48280/48280	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:44%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/invoice.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/invoice.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:49	148783/148783	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:07%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/projects.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/projects.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:50	71336/71336	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:47%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/application-ui.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/application-ui.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:50	148812/148812	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:17%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/create.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/create.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:51	51421/51421	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:53%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/calendar.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/calendar.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:51	66594/66594	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:25%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-card.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-card.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:51	74866/74866	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:27%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-membar.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-membar.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:52	62147/62147	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:27%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-list.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-list.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:52	73498/73498	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:25%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-card2.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-card2.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:53	85430/85430	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:26%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-group.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-group.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:53	53890/53890	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:24%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/user-info.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/user-info.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:53	68579/68579	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:26%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/users-datatable.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/users-datatable.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:53	367/367	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f9e-16f%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/user-check.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/user-check.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:53	62288/62288	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:14%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/contact-1.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/contact-1.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:54	60559/60559	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:13%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/contact-2.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/contact-2.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:54	287/287	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f42-11f%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/bookmark.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/bookmark.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:54	282/282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f31-11a%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/activity.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/activity.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:54	113814/113814	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:48%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/kanban.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/kanban.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:55	326/326	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f4e-146%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/columns.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/columns.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:55	392/392	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f8a-188%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/repeat.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/repeat.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:56	44984/44984	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:38%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/import.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/import.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:56	47660/47660	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:29%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/export.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/export.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:56	50360/50360	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:28%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/export-selected.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/export-selected.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:56	75250/75250	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:30%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/file-manager.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/file-manager.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:57	337/337	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f61-151%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/file.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/file.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:57	63690/63690	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:19%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/task-app.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/task-app.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:58	371/371	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f4b-173%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/clipboard.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/clipboard.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:58	77247/77247	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:08:52%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/bookmarks.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/bookmarks.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:58	313/313	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22642a6f9f-139%22	https://demo.dashboardmarket.com/hexadash-html/ltr/img/svg/user.svg	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/img/svg/user.svg	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:58	95617/95617	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:05%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/profile.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/profile.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:59	61500/61500	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:04%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/profile-setting.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/profile-setting.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:54:59	63475/63475	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:17%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/support-ticket.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/support-ticket.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:55:00	50821/50821	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:10:15%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/support-details.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/support-details.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:55:00	45550/45550	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:55%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/new-ticket.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/new-ticket.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
21:55:01	62513/62513	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2006:09:47%20GMT	https://demo.dashboardmarket.com/hexadash-html/ltr/jobSearch.html	D:/hack/admin-3/demo.dashboardmarket.com/hexadash-html/ltr/jobSearch.html	(from https://demo.dashboardmarket.com/hexadash-html/ltr/demo6.html)
